diagnostic_center_id,title,phone,address,city,pincode,mfine_link
776-micro-path-lab-medical-services,Micro Path Lab & Medical Services,"0562 404 5735, 9412812897, 9412301097 ","Shop No-41, New Lajpat Kung, Master Plan Road, Khandari,  Agra, Uttar Pradesh - 282005",Agra,282005,https://www.medifee.com/dc/776-micro-path-lab-medical-services/
777-katara-diagnostic-centre,Katara Diagnostic Centre,"0562 230 1201, 0562 324 9080, 9319104284 ","9, Laxman Nagar, Agra Cantt, Near Kohli Nursing Home, Arjun Nagar,  Agra, Uttar Pradesh - 282001",Agra,282001,https://www.medifee.com/dc/777-katara-diagnostic-centre/
786-agra-digital-x-ray-ultrasonography-centre,Agra Digital X Ray & Ultrasonography Centre,"0562 252 0868, 0562 252 1716, 0562 285 8940, 0562 329 3235, 9837790450 ","Sh No-1-7-8-9, Bye Pass Road, B M Khan, Near Shri Talkies, JAI Market,  Agra, Uttar Pradesh - 282002",Agra,282002,https://www.medifee.com/dc/786-agra-digital-x-ray-ultrasonography-centre/
787-om-sai-pathology-x-ray-centre,Om Sai Pathology & X Ray Centre,"0562 252 3677, 0562 252 1544, 0562 311 1525 ","Civil Line, Near Dr M C Gupta Clinic, Bagh Farzana,  Agra, Uttar Pradesh - 282002",Agra,282002,https://www.medifee.com/dc/787-om-sai-pathology-x-ray-centre/
788-dr-roy-pathology-centre,Dr Roy Pathology Centre,"0562 252 1482, 0562 252 4388 ","Civil Line, Near Dr Kamlesh Tandon Nursing Home, Bagh Farazana,  Agra, Uttar Pradesh - 282002",Agra,282002,https://www.medifee.com/dc/788-dr-roy-pathology-centre/
789-arshita-diagnostic-pathology-centre,Arshita Diagnostic & Pathology Centre,"0562 400 6662, 9758180483, 9997511806 ","Shop Number- 14, Ugf, Bye Pass Road, Near Heera Talkies, Near Shri Talkies, Shri Heera Plaza Market,  Agra, Uttar Pradesh - 282005",Agra,282005,https://www.medifee.com/dc/789-arshita-diagnostic-pathology-centre/
790-medinova-testing-clinic,Medinova Testing Clinic,"0562 285 1455, 9457715248 ","44-D, Kaveri Centre, Opposite Azad petrol pump, Sanjay Place,  Agra, Uttar Pradesh - 282002",Agra,282002,https://www.medifee.com/dc/790-medinova-testing-clinic/
791-sunrise-diagnostic-centre,Sunrise Diagnostic Centre,"0562 252 4033, 0562 401 2963, 9411083954 ","4/48 Laj Pat Kunj, Civil Line, Near Gold Gym, Bagh Farzana,  Agra, Uttar Pradesh - 282002",Agra,282002,https://www.medifee.com/dc/791-sunrise-diagnostic-centre/
792-clinic-pathology-lab,Clinic Pathology Lab,"0562 645 6761, 0562 285 1020 ","241, Bye Pass Road, New Agra,  Agra, Uttar Pradesh - 282005",Agra,282005,https://www.medifee.com/dc/792-clinic-pathology-lab/
793-surya-diagnostic-centre,Surya Diagnostic Centre,"0562 221 7999, 0562 400 7999, 9412260629, 9917044999 ","Bodla Road, Ram Nagar Ki Pulia, Shah Ganj,  Agra, Uttar Pradesh - 282010",Agra,282010,https://www.medifee.com/dc/793-surya-diagnostic-centre/
795-standard-pathology,Standard Pathology,"0562 404 0090 ","Shamsabad, Dutta Complex, Shamshabad Road, Saini, Rajpur Chungi,  Agra, Uttar Pradesh - 282001",Agra,282001,https://www.medifee.com/dc/795-standard-pathology/
796-shanti-manglick-hospital,Shanti Manglick Hospital,"0562 326 8375, 0562 233 0036, 0562 233 0038, 9359509112, 9359509118 ","Near Mughal Hotel, Fatehabad Road,  Agra, Uttar Pradesh - 282001",Agra,282001,https://www.medifee.com/dc/796-shanti-manglick-hospital/
797-exellent-pathology-laboratory,Exellent Pathology Laboratory,"8755035362 ","Yadav Market, Rajpur Chungi, Rajpur,  Agra, Uttar Pradesh - 282001",Agra,282001,https://www.medifee.com/dc/797-exellent-pathology-laboratory/
811-monica-x-ray-pathology,Monica X Ray & Pathology,"9837327404 ","Nalband Crossing, M G Road,  Agra, Uttar Pradesh - 282002",Agra,282002,https://www.medifee.com/dc/811-monica-x-ray-pathology/
812-pathocare,Pathocare,"0562 252 5280, 0562 285 7820 ","H-1/14, M G Road,  Agra, Uttar Pradesh - 282002",Agra,282002,https://www.medifee.com/dc/812-pathocare/
813-ashok-pathology-lab,Ashok Pathology Lab,"0562 221 5403, 9412263443 ","16, Ashok Nagar Road, Gokul Pura, Teela Gokulpura,  Agra, Uttar Pradesh - 282002",Agra,282002,https://www.medifee.com/dc/813-ashok-pathology-lab/
814-seth-diagnostics,Seth Diagnostics,"0562 252 3333, 9837026607, 9536105558 ","1/143, Babu Gulab RAI Marg, Delhi Gate,  Agra, Uttar Pradesh - 282003",Agra,282003,https://www.medifee.com/dc/814-seth-diagnostics/
815-hi-tech-pathology,Hi Tech Pathology,"0562 645 3834 ","1/117, Ajay Market Gulab RAI Marg, Delhi Gate,  Agra, Uttar Pradesh - 282003",Agra,282003,https://www.medifee.com/dc/815-hi-tech-pathology/
816-dr-arun-gupta,Dr Arun Gupta,"0562 288 1899, 0562 288 2889, 9412261094 ","15, Kamla Place, Shree ram chouck, Kamla Nagar,  Agra, Uttar Pradesh - 282004",Agra,282004,https://www.medifee.com/dc/816-dr-arun-gupta/
2421-agra-mri-ct-scan-centre,Agra MRI & CT Scan Centre,"9917470450, 9837790450 ","Shop Number- 3 & 4, Bye Pass Road, Near Shree Talkies, Jai Market,  Agra, Uttar Pradesh - 282005",Agra,282005,https://www.medifee.com/dc/2421-agra-mri-ct-scan-centre/
2422-niriksha-pathology-centre,Niriksha Pathology Centre,"0562 227 7307, 9837062009 ","Loha Mandi Road, Kushwah Market, Opposite Bodla Sabzi Mandi & Rajput Photo Studio, Sikandra,  Agra, Uttar Pradesh - 282007",Agra,282007,https://www.medifee.com/dc/2422-niriksha-pathology-centre/
2423-esha-diagnostics,Esha Diagnostics,"0562 252 0088, 9837301810, 9319946001 "," Shop No-1/171, Below Andhra Bank, Bagh Farzana, Parinay Kunj, Civil Line,  Agra, Uttar Pradesh - 282002",Agra,282002,https://www.medifee.com/dc/2423-esha-diagnostics/
2424-axis-imaging-centre,Axis Imaging Centre,"9917002999 ","10, Bagh Farzana, Tin Ka Girja, Agra HO,  Agra, Uttar Pradesh - 282001",Agra,282001,https://www.medifee.com/dc/2424-axis-imaging-centre/
2428-amit-jaggi-memorial-hospital,Amit Jaggi Memorial Hospital,"0562 233 0600, 0562 403 2654, 0562 223 0515, 9837067747, 9319102867, 18001803177 ","Sector Number. 1, Near Amar Hotel, Vibhav Nagar,  Agra, Uttar Pradesh - 282001",Agra,282001,https://www.medifee.com/dc/2428-amit-jaggi-memorial-hospital/
3308-dr-lahiri-pathology-centre,Dr Lahiri Pathology Centre,"0562 252 2687 ","Sarkar Nursing Home Enclave, Delhi Gate,  Agra, Uttar Pradesh - 282003",Agra,282003,https://www.medifee.com/dc/3308-dr-lahiri-pathology-centre/
5074-laxmi-foundation-diagnostic-center,Laxmi Foundation Diagnostic Center,"9219402505, 8171942505 ","16, C.L. Jain College Market, Firozabad,  Agra, Uttar Pradesh - 283203",Agra,283203,https://www.medifee.com/dc/5074-laxmi-foundation-diagnostic-center/
13158-shanti-health-care-pathology-lab,Shanti Health Care Pathology Lab,"056 2406 2221 ","Babu  Gulab Rai  Marg, Near Allahabad Bank Zonal Office Delhi Gate Agra,  Agra, Uttar Pradesh - 282001",Agra,282001,https://www.medifee.com/dc/13158-shanti-health-care-pathology-lab/
13237-shankar-diagnostic-centre,Shankar Diagnostic Centre,"0562 230 1666 ","Shop No. 8, Tantpur Rd, Laxman Nagar, Dashrath Kunj - B, Barakhamba, Arjun Nagar,  Agra, Uttar Pradesh - 282001",Agra,NaN,https://www.medifee.com/dc/13237-shankar-diagnostic-centre/
13238-srl-diagnostics-center-(kamla-nagar),SRL Diagnostics Center (Kamla Nagar),"080571 91524 ","Shop No. A-4, 31/323, Tanki Rd, Near Sanjay Lodge, E-Block, Shanti Nagar,  Agra, Uttar Pradesh - 282005",Agra,282005,https://www.medifee.com/dc/13238-srl-diagnostics-center-(kamla-nagar)/
13338-akansha-diagnostic-centre,Akansha Diagnostic Centre,"098370 47879 ","Shop No.1, Mahavir Plaza, 115, Mahatma Gandhi Rd, Mahavir Market, Opp. Hariparwat Police Station, Near Panchi Petha, Hariparwat, Civil Lines,  Agra, Uttar Pradesh - 282002",Agra,282002,https://www.medifee.com/dc/13338-akansha-diagnostic-centre/
16097-dr.-lal-path-labs-(agra),Dr. Lal Path Labs (Agra),"7410037366 ","Sample Collection All Over Agra Area,  Agra, Uttar Pradesh - ",Agra,NaN,https://www.medifee.com/dc/16097-dr.-lal-path-labs-(agra)/
14076-general-diagnostics-(ahmedabad),General Diagnostics (Ahmedabad),"7410037366 ",",  Ahmedabad, Gujarat - ",Ahmedabad,NaN,https://www.medifee.com/dc/14076-general-diagnostics-(ahmedabad)/
14076-general-diagnostics-(ahmedabad),General Diagnostics (Ahmedabad),"7410037366 ",",  Ahmedabad, Gujarat - ",Ahmedabad,NaN,https://www.medifee.com/dc/14076-general-diagnostics-(ahmedabad)/
14179-exo-lab-(ahmedabad),Exo Lab (Ahmedabad),"7410037366 ","Free Home Sample Collection,  Ahmedabad, Gujrat - ",Ahmedabad,NaN,https://www.medifee.com/dc/14179-exo-lab-(ahmedabad)/
14179-exo-lab-(ahmedabad),Exo Lab (Ahmedabad),"7410037366 ","Free Home Sample Collection,  Ahmedabad, Gujrat - ",Ahmedabad,NaN,https://www.medifee.com/dc/14179-exo-lab-(ahmedabad)/
17191-sadhana-diagnostic-center,Sadhana Diagnostic Center,"079 2329 9215 ","63/2 Janatanagar Chandkheda,  Ahmedabad, Gujarat - 382424",Ahmedabad,382424,https://www.medifee.com/dc/17191-sadhana-diagnostic-center/
521-medilink-hospital-research-center,Medilink Hospital & Research Center,"079 4024 1000, 079 4024 1007, 079 4024 1006, 7359233397, 9925718636, 9825875854 ","Medilink Building, Near Shyamal Coss Road, Opposite Someshwar Jain Temple, 132 Feet Ring Road, Chotila,  Ahmedabad, Gujarat - 380015",Ahmedabad,380015,https://www.medifee.com/dc/521-medilink-hospital-research-center/
522-cims-hospital,CIMS Hospital,"079 3321 2452 ","Care Institute Of Medical Sciences, Near Sola Bridge, Science City Road, Chandkheda,  Ahmedabad, Gujarat - 380060",Ahmedabad,380060,https://www.medifee.com/dc/522-cims-hospital/
523-symmers-path-care,Symmers Path Care,"079 3024 7038 ","8/9 Narayan Chambers, Near Nehru Bridge, Near Patan Hotel, Ambawadi,  Ahmedabad, Gujarat - 380006",Ahmedabad,380006,https://www.medifee.com/dc/523-symmers-path-care/
524-jagruti-path-lab,Jagruti Path Lab,"079 3024 7461 ","Sec 2, Near Adc Bank, Near Vaibhav Dairy, Chandkheda,  Ahmedabad, Gujarat - 382481",Ahmedabad,382481,https://www.medifee.com/dc/524-jagruti-path-lab/
525-scientific-diagnostic-centre-pvt-ltd-(gurukul),Scientific Diagnostic Centre Pvt Ltd (Gurukul),"079 3049 3240 ","Scientific House, Opposite White House, Panchwati Cross Road, Gurukul,  Ahmedabad, Gujarat - 380015",Ahmedabad,380015,https://www.medifee.com/dc/525-scientific-diagnostic-centre-pvt-ltd-(gurukul)/
527-cross-world-blood-bank-and-sankalp-diagnostics,Cross World Blood Bank And Sankalp Diagnostics,"079 3301 2331 ","First Floor Chandraprabhu Complex, Sardar Patel Statue Cross Road, Navrangpura,  Ahmedabad, Gujarat - 380009",Ahmedabad,380009,https://www.medifee.com/dc/527-cross-world-blood-bank-and-sankalp-diagnostics/
528-green-cross-pathology-laboratory,Green Cross Pathology Laboratory,"079 2657 7588, 079 2657 8824, 079 2657 7844, 079 2657 8894, 079 4003 2088 ","123/201, Anilkunj Shopping Center, Near Shefali Shopping Center, Paldi Cross Road, Ambawadi,  Ahmedabad, Gujarat - 380007",Ahmedabad,380007,https://www.medifee.com/dc/528-green-cross-pathology-laboratory/
529-scientific-diagnostic-center-(chotila),Scientific Diagnostic Center (Chotila),"9824508269 ","Shop No.A-109 Populear Plazaa, Near Shyamal Cross Road, Opposite Someshwar Complex, Chotila,  Ahmedabad, Gujarat - 380015",Ahmedabad,380015,https://www.medifee.com/dc/529-scientific-diagnostic-center-(chotila)/
530-maniben-k-k-eye-hospital,Maniben K K Eye Hospital,"079 3023 4383 ","Near Shardaben Hospital, khadia,  Ahmedabad, Gujarat - 380018",Ahmedabad,380018,https://www.medifee.com/dc/530-maniben-k-k-eye-hospital/
531-cellcare-pathology-lab-pvt-ltd,Cellcare Pathology Lab Pvt Ltd,"079 6520 6520, 079 2630 6520, 9825029292, 9825029159, 9825560504 ","101, Hrishikesh 1, Near IDBI Bank, Opposite C G Road, Opposite Municipal Water Tank, Bodyline Cross Road, Gurukul,  Ahmedabad, Gujarat - 380015",Ahmedabad,380015,https://www.medifee.com/dc/531-cellcare-pathology-lab-pvt-ltd/
532-spectrum-healthcare,Spectrum Healthcare,"079 4070 4545, 9824722248 ","Spectrum House, Sahkar Niketan Society, Opposite AMCO Bank, Near Hawmor Restaurant, Stadium Cross Roads, Navrangpura,  Ahmedabad, Gujarat - 380009",Ahmedabad,380009,https://www.medifee.com/dc/532-spectrum-healthcare/
533-atp-pathcare-lab-pvt-ltd,Atp Pathcare Lab Pvt Ltd,"079 2754 5321, 9898268084 ","HP/04, Kalyani Appartment, Near Sattar Taluka Society, Opposite Sakar-3, Behind C U Shah College, Navrangpura,  Ahmedabad, Gujarat - 380014",Ahmedabad,380014,https://www.medifee.com/dc/533-atp-pathcare-lab-pvt-ltd/
535-vip-diagnostic-lab,VIP Diagnostic Lab,"079 6513 2115 ","11 Siddhi Darshan, 100 FT Road, Opposite Seema Hall, Chotila,  Ahmedabad, Gujarat - 380015",Ahmedabad,380015,https://www.medifee.com/dc/535-vip-diagnostic-lab/
536-sankalp-pathology-labs-and-research-center,Sankalp Pathology Labs and Research Center,"079 2546 3100, 079 2545 1100, 079 6543 4700, 9824254350, 9327473110 ","Ground floor, Sakarya complex, Between krishnabaug and jawaharchowk, Amraiwadi,  Ahmedabad, Gujarat - 380008",Ahmedabad,380008,https://www.medifee.com/dc/536-sankalp-pathology-labs-and-research-center/
537-pathocare-laboratory,Pathocare Laboratory,"079 2744 0333, 079 6522 2214, 9825378909, 9898258355 ","Shop no-A/112, Swaminarayan Avenue, Near vision mobile care, Aec Cross Road, Vijaynagar,  Ahmedabad, Gujarat - 380013",Ahmedabad,380013,https://www.medifee.com/dc/537-pathocare-laboratory/
538-uro-lab,URO Lab,"079 4038 0380, 9898580583, 9925223244, 9737033307 ","410, Sigma Icon, Opposite Medilink Hospital, Shivranjini Cross Road, chotila,  Ahmedabad, Gujarat - 380015",Ahmedabad,380015,https://www.medifee.com/dc/538-uro-lab/
603-nalini-shahs-pathology-laboratory,Nalini Shahs Pathology Laboratory,"079 2657 5392, 079 2656 4661, 079 6632 5314, 9426006204, 9825022796, 9426001683 ","A/4, Agrawal Chambers, 1st Floor, Opposite Town Hall, Ambawadi,  Ahmedabad, Gujarat - 380006",Ahmedabad,380006,https://www.medifee.com/dc/603-nalini-shahs-pathology-laboratory/
604-nirmal-pathology-laboratory,Nirmal Pathology Laboratory,"079 2664 1474, 079 2675 3644, 9426024836, 9327052820, 9898161006 ","103, Dhanlaxmi Complex, Near Jivraj Park Bus Stand, Vasna,  Ahmedabad, Gujarat - 380051",Ahmedabad,380051,https://www.medifee.com/dc/604-nirmal-pathology-laboratory/
605-gold-coin-pathology-laboratory,Gold Coin Pathology Laboratory,"9825319680 ","Shop no 12FF new york darshan complex, Opposite inductotherm, Bhopal,  Ahmedabad, Gujarat - 380058",Ahmedabad,380058,https://www.medifee.com/dc/605-gold-coin-pathology-laboratory/
606-siddhi-pathology-laboratory,Siddhi Pathology Laboratory,"079 2281 0599, 9998842944 ","G-18, Sruhad Complex, Near Narayannagar Bus Stand, Naroda,  Ahmedabad, Gujarat - 382330",Ahmedabad,382330,https://www.medifee.com/dc/606-siddhi-pathology-laboratory/
607-aastha-oncology-associates,Aastha Oncology Associates,"079 4041 0101, 079 4001 0299 ","Medi Surge Hospital, Mithakali Six Road, Near Lions Hall, Navrangpura,  Ahmedabad, Gujarat - 380009",Ahmedabad,380009,https://www.medifee.com/dc/607-aastha-oncology-associates/
608-sadhana-diagnostic-centre,Sadhana Diagnostic Centre,"079 2329 9215, 9824076779, 9426555698 ","63/2 Pashnath Nagar, Chanldkheda Road, Opposite Jain Tempal, Chandkheda,  Ahmedabad, Gujarat - 382424",Ahmedabad,382424,https://www.medifee.com/dc/608-sadhana-diagnostic-centre/
610-rushabh-pathology-laboratory,Rushabh Pathology Laboratory,"9173734142 ","184, Sobo Centre, Gala Gymkhana Road, Near Gala Mart, Bhopal,  Ahmedabad, Gujarat - 380058",Ahmedabad,380058,https://www.medifee.com/dc/610-rushabh-pathology-laboratory/
611-bajaj-pathology-laboratory,Bajaj Pathology Laboratory,"079 2281 0059, 9824246682 ","11, Janta Chambers, Near Anand Surgical Hospital, Near Saijpur Tower, Naroda,  Ahmedabad, Gujarat - 382330",Ahmedabad,382330,https://www.medifee.com/dc/611-bajaj-pathology-laboratory/
612-bharat-pathology-medical-centre,Bharat Pathology & Medical Centre,"9737267066, 9426587318 ","Shop no.2, Bipin complex, Opposite cancer hospital, Ayodhyanagar,  Ahmedabad, Gujarat - 380016",Ahmedabad,380016,https://www.medifee.com/dc/612-bharat-pathology-medical-centre/
613-dr-chawlas-pathology-laboratory,Dr Chawlas Pathology Laboratory,"079 2657 8450, 079 3023 4779 ","306, Third Floor, Heritage Plaza, Drive In Road, Opposite Gurukul Tower, Gurukul,  Ahmedabad, Gujarat - 380052",Ahmedabad,380052,https://www.medifee.com/dc/613-dr-chawlas-pathology-laboratory/
614-biocare-research-pvt-ltd,Biocare Research Pvt Ltd,"079 2657 7903, 079 2657 7901 ","First Floor, Kanth Complex, Near Paldi Crossroads, Ambawadi,  Ahmedabad, Gujarat - 380006",Ahmedabad,380006,https://www.medifee.com/dc/614-biocare-research-pvt-ltd/
2515-shanti-pathology-laboratory,Shanti Pathology Laboratory,"079 3049 2148 ","First Floor Angel Arcade, Bhuyangdev Sattadhar Road, Opposite Kalupur Cooperative Bank, Chandkheda,  Ahmedabad, Gujarat - 380060",Ahmedabad,380060,https://www.medifee.com/dc/2515-shanti-pathology-laboratory/
2516-mayflower-womens-hospital,Mayflower Womens Hospital,"079 3081 7167 ","Mayflower House, 132 Feet Ring Road Drive In Road, Opposite Traffic Police Halmet, Near Manavmandir, Gurukul,  Ahmedabad, Gujarat - 380052",Ahmedabad,380052,https://www.medifee.com/dc/2516-mayflower-womens-hospital/
2517-i-pathlab,I Pathlab,"079 3093 1786 ","20 B Block, 2nd Floor, Amrapali Complex, Near City Gold Multiplex, Bhopal,  Ahmedabad, Gujarat - 380058",Ahmedabad,380058,https://www.medifee.com/dc/2517-i-pathlab/
2519-sunrise-pathology-laboratory,Sunrise Pathology Laboratory,"079 3023 6667 ","B 5 Second Floor, Gold Coin Complex Part B, Jodhpur Cross Road, Chotila,  Ahmedabad, Gujarat - 380015",Ahmedabad,380015,https://www.medifee.com/dc/2519-sunrise-pathology-laboratory/
2520-iqraa-hospital,Iqraa Hospital,"079 3023 4410 ","No 8, Bage Firdosh Society, Sarkhej And Sonal Tokiz Road, Opposite Khurshid Park, Vasna,  Ahmedabad, Gujarat - 380055",Ahmedabad,380055,https://www.medifee.com/dc/2520-iqraa-hospital/
2521-supratech-micropath-laboratory,Supratech Micropath Laboratory,"079 2640 8181, 079 2640 8182, 079 2640 8183, 079 2640 8191 ","Kedar Complex, Opposite Krupa Petrol Pump, Near Parimal Garden, Ambawadi,  Ahmedabad, Gujarat - 380006",Ahmedabad,380006,https://www.medifee.com/dc/2521-supratech-micropath-laboratory/
2526-star-hospital,Star Hospital,"079 2220 1717, 079 2220 4433, 7574871114, 9898022444 ","Bapunagar Memco Road, Near Indica Lab, Bapu Nagar,  Ahmedabad, Gujarat - 380024",Ahmedabad,380024,https://www.medifee.com/dc/2526-star-hospital/
2527-anand-surgical-hospital,Anand Surgical Hospital,"079 2281 5100, 079 2281 4424, 9727395266, 9825027887 ","Memco Cross Road, Near Ioc Petrol Pump, khadia,  Ahmedabad, Gujarat - 380025",Ahmedabad,380025,https://www.medifee.com/dc/2527-anand-surgical-hospital/
2528-unipath-speciality-laboratory,Unipath Speciality Laboratory,"079 4002 2800, 079 4002 2801, 079 4002 2802, 9558800100, 9558804863, 9879566875 ","102, 1st Floor, Sanoma Plaza, Opposite Parimal Garden, Beside JMC House, Ambawadi,  Ahmedabad, Gujarat - 380006",Ahmedabad,380006,https://www.medifee.com/dc/2528-unipath-speciality-laboratory/
2529-sun-pathology-laboratory,Sun Pathology Laboratory,"079 3252 0766 ","U-1, Satya Complex, Opposite Ioc Petrol Pump, Between Shivranjani To Shyamal Cross Road, Chotila,  Ahmedabad, Gujarat - 380015",Ahmedabad,380015,https://www.medifee.com/dc/2529-sun-pathology-laboratory/
2530-sanket-metropolis,Sanket Metropolis,"079 3399 3939, 8141393939, 9825039740 ","Shefali House, Parimal Cross Road, Behind Gujarat Gas, Opposite Collegian Restaurant, Ambawadi,  Ahmedabad, Gujarat - 380006",Ahmedabad,380006,https://www.medifee.com/dc/2530-sanket-metropolis/
2531-apl-diagnostic-expert,APL Diagnostic Expert,"079 2630 3090, 079 2630 4010 ","A/103/104, Aasthan Complex, Opposite Polytechnic Bus Stop, Near Panjarapole, Chotila,  Ahmedabad, Gujarat - 380015",Ahmedabad,380015,https://www.medifee.com/dc/2531-apl-diagnostic-expert/
2532-parth-pathology-laboratory,Parth Pathology Laboratory,"079 2675 2880, 079 2676 9584, 9409284212 ","1st Floor, Himalaya Complex, Lad Society Road, Near Nehru Park, Opposite Fountain, Chotila,  Ahmedabad, Gujarat - 380015",Ahmedabad,380015,https://www.medifee.com/dc/2532-parth-pathology-laboratory/
2551-laxmi-hospital-diagnostic-center,Laxmi Hospital & Diagnostic Center,"02717 233 544, 02717 234 844, 9727797914, 9727701544 ","Samarpan Complex, Bopal-Ambli Ring Road, Bopal Cross Road, Bhopal,  Ahmedabad, Gujarat - 380058",Ahmedabad,380058,https://www.medifee.com/dc/2551-laxmi-hospital-diagnostic-center/
2552-mahakant-pathology-laboratory,Mahakant Pathology Laboratory,"079 2768 0106, 079 6662 4557, 079 3012 7206, 079 2745 0969, 9825021869 ","1-2, Shashwat, Ground Floor, Naranpura Cross Roads, Vijaynagar,  Ahmedabad, Gujarat - 380013",Ahmedabad,380013,https://www.medifee.com/dc/2552-mahakant-pathology-laboratory/
2553-swasthya-clinic-hospital,Swasthya Clinic & Hospital,"079 3041 6277 ","2, Jaymangal Society, 132 Feet Ring Road, Vijaynagar,  Ahmedabad, Gujarat - 380013",Ahmedabad,380013,https://www.medifee.com/dc/2553-swasthya-clinic-hospital/
2554-samir-pathology-laboratory,Samir Pathology Laboratory,"079 2675 3749, 079 2676 7647, 079 6605 4729, 079 2685 3172, 9925471964, 9924552998 ","1/2, Sona Complex, Opposite Sbs Bank, Nehru Park, Chotila,  Ahmedabad, Gujarat - 380015",Ahmedabad,380015,https://www.medifee.com/dc/2554-samir-pathology-laboratory/
2555-maitri-pathology-laboratory,Maitri Pathology Laboratory,"079 2630 0894, 079 2630 0528, 9327003471, 9925274698 ","16, Maitri Society, Opposite Jahnavi Restaurant, Behind Polytechnic, Opposite Goyal Tower, Gurukul,  Ahmedabad, Gujarat - 380015",Ahmedabad,380015,https://www.medifee.com/dc/2555-maitri-pathology-laboratory/
2556-suvidha-diagnostic-centre,Suvidha Diagnostic Centre,"079 6521 9189, 079 2676 2306, 9825009501, 9825473035, 9825473980 ","103, 1st Floor, Twinkle Complex, 100 Feet Road, Beside Dhananjay Tower, Near Shyamal Cross Road, Gurukul,  Ahmedabad, Gujarat - 380015",Ahmedabad,380015,https://www.medifee.com/dc/2556-suvidha-diagnostic-centre/
2557-platinum-diagnostics,Platinum Diagnostics,"079 2750 2701, 079 2750 2702, 9374470108, 9374470109, 9408758642 ","Near Shanti Playgroups, Ramnagar Chowk, Ayodhyanagar,  Ahmedabad, Gujarat - 380005",Ahmedabad,380005,https://www.medifee.com/dc/2557-platinum-diagnostics/
2558-saviour-annexe-hospital,Saviour Annexe Hospital,"079 2657 5151, 079 2657 7676, 079 2657 8080 ","Behind ashram road, Near Dinesh Hall, Navrangpura,  Ahmedabad, Gujarat - 380009",Ahmedabad,380009,https://www.medifee.com/dc/2558-saviour-annexe-hospital/
2559-shree-ram-pathology-laboratory,Shree Ram Pathology Laboratory,"079 2281 7300, 079 2281 5060 ","Krishna Chambers, Naroda Patiya Cross Road, Opposite Ramdevpir Mandir, Naroda,  Ahmedabad, Gujarat - 382330",Ahmedabad,382330,https://www.medifee.com/dc/2559-shree-ram-pathology-laboratory/
2560-qualitech-diagnostic-center,Qualitech Diagnostic Center,"079 2657 9300, 079 3002 9300, 079 3022 2062, 9898584400, 9375009292, 9375077266, 9375004400 ","1st Floor, Rangoli Complex, Ashram Road, Opposite V S Hospital, Ambawadi,  Ahmedabad, Gujarat - 380006",Ahmedabad,380006,https://www.medifee.com/dc/2560-qualitech-diagnostic-center/
